Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1973","1973","hg/ha","87681","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1974","1974","hg/ha","87681","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1975","1975","hg/ha","89706","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1976","1976","hg/ha","84615","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1977","1977","hg/ha","61538","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1978","1978","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1979","1979","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1980","1980","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1981","1981","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1982","1982","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1983","1983","hg/ha","86765","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1984","1984","hg/ha","86765","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1985","1985","hg/ha","86765","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1986","1986","hg/ha","86567","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1987","1987","hg/ha","86567","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1988","1988","hg/ha","86567","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1989","1989","hg/ha","86364","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1990","1990","hg/ha","85280","Fc","Calculated data"
